nome;telefone;endereco;link;categoria;horario;
Loja Vivo;(33) 99708-4518;R. Pres. Bernardes, 105 - Centro;https://www.instagram.com/vivonovocruzeiro/;Compras;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Ws Informática;(33) 99843-7165;R. Jacinto de Carvalho, 129 - Centro;https://www.instagram.com/ws_informatica_nc/;Compras;Seg a Sex: 07h – 17h30 | Dom: 07h – 12h;
Bezerra Móveis;(33) 98716-2391;Rua Sargento Noraldino Rosa, 323 - Centro;https://www.instagram.com/bezerramoveis_/;Compras;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Eletro Móveis;(33) 98828-8673;R. David Mussi, 101 - Centro;https://www.instagram.com/eletromoveisnc;Compras;Seg a Sex: 07h – 17h | Dom: 07h – 12h;
Casaes Materiais de Construção;(33) 3533-1455;R. Jacinto de Carvalho, 90 - Centro;https://www.materialdeconstrucaomg.com.br/empresas/casaes-materiais-de-construcao-centro-novo-cruzeiro-m;Casa e Construção;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Barreiro Materiais de Construção;#;#;https://www.materialdeconstrucaomg.com.br/empresas/casaes-materiais-de-construcao-centro-novo-cruzeiro-m;Casa e Construção;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Gravatá Materiais de Construção;(33) 98726-4788;R. Joaquim Pereira, 115 - Centro;#;Casa e Construção;Seg a Sex: 07h – 17h30 | Dom: 07h – 12h;
Dica Materiais de Construção;(33) 99853-5004;Av. Júlio Campos, 530 - Centro;#;Casa e Construção;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Tip Top Materiais De Construção;(33) 98449-9755;Rua Joaquim Pereira, 213 - Centro;https://www.instagram.com/tiptopmateriaisnc/;Casa e Construção;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Hotel Luar;(33) 98805-0319;Praça Dom José Haas, 152 - Centro;https://www.instagram.com/hotelluar.nc/;Lazer e Turismo;Seg a Dom: 00h – 24h;
Hotel Trem Mineiro;(33) 98849-6002;Rua Joaquim Pereira, 179 - Centro;https://www.instagram.com/hoteltremmineiro/;Lazer e Turismo;Seg a Dom: 00h – 24h;
